DATE,LFAC64TTIEQ647S
1999-04-01,1672245.25573713
1999-07-01,1691141.53041743
1999-10-01,1705535.7102069198
2000-01-01,1717289.97561683
2000-04-01,1732092.21488452
2000-07-01,1741280.2751837
2000-10-01,1753337.53431495
2001-01-01,1762934.05362467
2001-04-01,1773373.2276721
2001-07-01,1795261.14858575
2001-10-01,1799931.5701174901
2002-01-01,1811750.3717887101
2002-04-01,1821497.3311608601
2002-07-01,1825263.69132416
2002-10-01,1838188.60572627
2003-01-01,1849744.42985428
2003-04-01,1858800.7855061102
2003-07-01,1870650.9297336
2003-10-01,1883903.8549060002
2004-01-01,1897099.0622279302
2004-04-01,1905079.05905793
2004-07-01,1924090.21258947
2004-10-01,1948431.66612467
2005-01-01,1965062.22900546
2005-04-01,1991294.22124663
2005-07-01,2018928.2982490999
2005-10-01,2038915.2514988
2006-01-01,2069542.9759326898
2006-04-01,2084832.52136561
2006-07-01,2113985.08072358
2006-10-01,2127039.42197811
2007-01-01,2271513.92099957
2007-04-01,2295887.43951139
2007-07-01,2296970.75703448
2007-10-01,2308327.88245456
2008-01-01,2317132.95673033
2008-04-01,2319117.72899644
2008-07-01,2314549.9201164697
2008-10-01,2296899.39415676
2009-01-01,2274984.4205295597
2009-04-01,2277566.4955858
2009-07-01,2255026.70118968
2009-10-01,2232422.38269496
2010-01-01,2216377.92691652
2010-04-01,2211107.72838136
2010-07-01,2199890.0033791503
2010-10-01,2192624.34132298
2011-01-01,2183006.7844505804
2011-04-01,2183630.13498266
2011-07-01,2174849.8305121204
2011-10-01,2182513.25005465
2012-01-01,2178529.39171431
2012-04-01,2170370.18966368
2012-07-01,2172877.98781475
2012-10-01,2172222.43080726
2013-01-01,2180325.18796253
2013-04-01,2195683.7520631696
2013-07-01,2193837.2923215902
2013-10-01,2197153.76765271
2014-01-01,2198926.43846999
2014-04-01,2192406.79087065
2014-07-01,2200679.48447686
2014-10-01,2202987.2861825
2015-01-01,2205359.8399471897
2015-04-01,2214603.767189
2015-07-01,2217814.6716861404
2015-10-01,2231221.72117767
2016-01-01,2237034.1382822697
2016-04-01,2263634.1568134
2016-07-01,2270807.15768335
2016-10-01,2261524.54722097
2017-01-01,2277000.83103399
2017-04-01,2270568.25640764
2017-07-01,2278030.08510429
2017-10-01,2291400.8274540803
2018-01-01,2287843.0070079197
2018-04-01,2312440.52816767
2018-07-01,2318229.43827888
2018-10-01,2329487.02654553
2019-01-01,2342606.2630537297
2019-04-01,2376397.10543091
2019-07-01,2352647.53816224
2019-10-01,2347349.09335312
2020-01-01,2358043.8707276597
2020-04-01,2229138.91556193
2020-07-01,2312825.7647190797
2020-10-01,2310991.44899133
2021-01-01,2335471.1446804
2021-04-01,2448553.86677006
2021-07-01,2474698.91441756
2021-10-01,2517276.0741319796
2022-01-01,2546752.9699142803
2022-04-01,2566358.73674371
2022-07-01,2559516.69724132
2022-10-01,2580571.5961007
