DATE,POPTOTITA647NWDB
1960-01-01,50199700
1961-01-01,50536350
1962-01-01,50879450
1963-01-01,51252000
1964-01-01,51675350
1965-01-01,52112350
1966-01-01,52519000
1967-01-01,52900500
1968-01-01,53235750
1969-01-01,53537950
1970-01-01,53821850
1971-01-01,54073490
1972-01-01,54381345
1973-01-01,54751406
1974-01-01,55110868
1975-01-01,55441001
1976-01-01,55718260
1977-01-01,55955411
1978-01-01,56155143
1979-01-01,56317749
1980-01-01,56433883
1981-01-01,56501675
1982-01-01,56543548
1983-01-01,56564074
1984-01-01,56576718
1985-01-01,56593071
1986-01-01,56596155
1987-01-01,56601931
1988-01-01,56629288
1989-01-01,56671781
1990-01-01,56719240
1991-01-01,56758521
1992-01-01,56797087
1993-01-01,56831821
1994-01-01,56843400
1995-01-01,56844303
1996-01-01,56860281
1997-01-01,56890372
1998-01-01,56906744
1999-01-01,56916317
2000-01-01,56942108
2001-01-01,56974100
2002-01-01,57059007
2003-01-01,57313203
2004-01-01,57685327
2005-01-01,57969484
2006-01-01,58143979
2007-01-01,58438310
2008-01-01,58826731
2009-01-01,59095365
2010-01-01,59277417
2011-01-01,59379449
2012-01-01,59539717
2013-01-01,60233948
2014-01-01,60789140
2015-01-01,60730582
2016-01-01,60627498.0
2017-01-01,60536709.0
2018-01-01,60421760.0
2019-01-01,59729081
2020-01-01,59438851
2021-01-01,59109668
