DATE,LFEACNTTAUQ647N
1985-01-01,477964.5011
1985-04-01,492050.0982
1985-07-01,476712.4242
1985-10-01,476979.60490000003
1986-01-01,468399.9169
1986-04-01,496242.39440000005
1986-07-01,498355.7548
1986-10-01,495651.76159999997
1987-01-01,510462.6652
1987-04-01,514201.3934
1987-07-01,492901.4059
1987-10-01,498048.3857
1988-01-01,514158.67790000007
1988-04-01,528623.3744999999
1988-07-01,533950.9676999999
1988-10-01,566356.2366
1989-01-01,588234.0599
1989-04-01,598471.4944999999
1989-07-01,604683.2127
1989-10-01,611798.5662
1990-01-01,619944.2755999999
1990-04-01,576912.824
1990-07-01,587404.3415
1990-10-01,587631.6352
1991-01-01,572631.2182
1991-04-01,544484.7631
1991-07-01,509529.83999999997
1991-10-01,526458.1545999999
1992-01-01,518222.56470000005
1992-04-01,514819.1737
1992-07-01,523391.45340000006
1992-10-01,527501.7501999999
1993-01-01,535233.7265
1993-04-01,545792.7369
1993-07-01,554137.7233
1993-10-01,554370.3984
1994-01-01,560594.5934
1994-04-01,556447.4526000001
1994-07-01,569088.1764
1994-10-01,586025.6951
1995-01-01,594528.4746
1995-04-01,601763.575
1995-07-01,592548.8016
1995-10-01,604614.1381
1996-01-01,602189.9069
1996-04-01,594005.3842999999
1996-07-01,600246.4332
1996-10-01,579437.6836
1997-01-01,578029.1259000001
1997-04-01,573396.8012
1997-07-01,564563.1383
1997-10-01,594119.1292
1998-01-01,602727.8138
1998-04-01,611755.5116
1998-07-01,616938.17
1998-10-01,627245.5324
1999-01-01,613156.4807
1999-04-01,634960.0617999999
1999-07-01,662838.4763
1999-10-01,690432.5048
2000-01-01,679203.4957
2000-04-01,692003.9004
2000-07-01,697076.4441
2000-10-01,671356.1945
2001-01-01,642673.2461999999
2001-04-01,652763.3474000001
2001-07-01,661212.9800999999
2001-10-01,692959.7298
2002-01-01,693893.5676999999
2002-04-01,702726.4629
2002-07-01,676666.4786
2002-10-01,701780.4185
2003-01-01,748543.0209
2003-04-01,716620.7236
2003-07-01,750520.007
2003-10-01,765622.4541
2004-01-01,758936.7496
2004-04-01,793499.729
2004-07-01,790819.7621
2004-10-01,824347.9376000001
2005-01-01,836231.857
2005-04-01,843212.0941
2005-07-01,849875.7421
2005-10-01,842887.9126
2006-01-01,884932.1865
2006-04-01,876524.2236
2006-07-01,894385.2448
2006-10-01,947497.1974
2007-01-01,950237.4088
2007-04-01,926962.6980000001
2007-07-01,914735.5598
2007-10-01,953610.2814
2008-01-01,992984.2953
2008-04-01,973187.0066
2008-07-01,982323.0312
2008-10-01,997327.6274
2009-01-01,994681.4107
2009-04-01,987736.5754999999
2009-07-01,970034.6671999999
2009-10-01,982654.8731000001
2010-01-01,989383.1847999999
2010-04-01,1001863.824
2010-07-01,974227.276
2010-10-01,1029111.345
2011-01-01,998605.9181
2011-04-01,1030436.244
2011-07-01,1007310.8176
2011-10-01,1018326.8387000001
2012-01-01,1004312.2559
2012-04-01,983157.9412
2012-07-01,946480.1024
2012-10-01,995988.8366
2013-01-01,1014506.4784
2013-04-01,988888.937
2013-07-01,1023415.0009
2013-10-01,1004597.319
2014-01-01,1032880.5613
2014-04-01,1025781.2124
2014-07-01,1019585.5978
2014-10-01,1046967.5391999999
2015-01-01,1015109.5305999999
2015-04-01,1039182.0848
2015-07-01,1016149.8805
2015-10-01,1045718.3035
2016-01-01,1048606.3827
2016-04-01,1087372.6988000001
2016-07-01,1042202.2239999999
2016-10-01,1062182.6837000002
2017-01-01,1108561.9165999999
2017-04-01,1131956.3982
2017-07-01,1146923.5905
2017-10-01,1164985.0282
2018-01-01,1197343.5857
2018-04-01,1179557.2159000002
2018-07-01,1177703.722
2018-10-01,1158813.6674
2019-01-01,1149405.6452
2019-04-01,1184589.6623000002
2019-07-01,1171130.9179
2019-10-01,1190742.7126
2020-01-01,1185682.5762
2020-04-01,1181466.6178
2020-07-01,1154234.5467
2020-10-01,1174451.5466
2021-01-01,1154057.1849999998
2021-04-01,1167099.86
2021-07-01,1119459.8103
2021-10-01,1157085.1591999999
2022-01-01,1171910.696
2022-04-01,1198198.363
2022-07-01,1258123.6767
2022-10-01,1298535.7128
2023-01-01,1318252.3114
