"STATISTIC","Statistic Label","TLIST(A1)","Year","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEA04C01","Value of Production Index in Building and Construction","2000","2000","-","All building and construction","Base 2015=100","155.85222131"
"BEA04C01","Value of Production Index in Building and Construction","2000","2000","11","Building (excluding civil engineering)","Base 2015=100","199.84425527"
"BEA04C01","Value of Production Index in Building and Construction","2000","2000","111","Residential building","Base 2015=100","311.69815985"
"BEA04C01","Value of Production Index in Building and Construction","2000","2000","112","Non-residential building","Base 2015=100","121.43124789"
"BEA04C01","Value of Production Index in Building and Construction","2000","2000","12","Civil engineering","Base 2015=100","63.61997861"
"BEA04C01","Value of Production Index in Building and Construction","2001","2001","-","All building and construction","Base 2015=100","176.58507586"
"BEA04C01","Value of Production Index in Building and Construction","2001","2001","11","Building (excluding civil engineering)","Base 2015=100","222.65537138"
"BEA04C01","Value of Production Index in Building and Construction","2001","2001","111","Residential building","Base 2015=100","359.55047731"
"BEA04C01","Value of Production Index in Building and Construction","2001","2001","112","Non-residential building","Base 2015=100","126.25970582"
"BEA04C01","Value of Production Index in Building and Construction","2001","2001","12","Civil engineering","Base 2015=100","77.780601388"
"BEA04C01","Value of Production Index in Building and Construction","2002","2002","-","All building and construction","Base 2015=100","188.70220848"
"BEA04C01","Value of Production Index in Building and Construction","2002","2002","11","Building (excluding civil engineering)","Base 2015=100","229.96048748"
"BEA04C01","Value of Production Index in Building and Construction","2002","2002","111","Residential building","Base 2015=100","391.50344458"
"BEA04C01","Value of Production Index in Building and Construction","2002","2002","112","Non-residential building","Base 2015=100","115.56898305"
"BEA04C01","Value of Production Index in Building and Construction","2002","2002","12","Civil engineering","Base 2015=100","95.15473211"
"BEA04C01","Value of Production Index in Building and Construction","2003","2003","-","All building and construction","Base 2015=100","211.01783184"
"BEA04C01","Value of Production Index in Building and Construction","2003","2003","11","Building (excluding civil engineering)","Base 2015=100","262.12281269"
"BEA04C01","Value of Production Index in Building and Construction","2003","2003","111","Residential building","Base 2015=100","480.3809431"
"BEA04C01","Value of Production Index in Building and Construction","2003","2003","112","Non-residential building","Base 2015=100","106.62220563"
"BEA04C01","Value of Production Index in Building and Construction","2003","2003","12","Civil engineering","Base 2015=100","98.908325386"
"BEA04C01","Value of Production Index in Building and Construction","2004","2004","-","All building and construction","Base 2015=100","252.81988458"
"BEA04C01","Value of Production Index in Building and Construction","2004","2004","11","Building (excluding civil engineering)","Base 2015=100","319.07013761"
"BEA04C01","Value of Production Index in Building and Construction","2004","2004","111","Residential building","Base 2015=100","605.12555721"
"BEA04C01","Value of Production Index in Building and Construction","2004","2004","112","Non-residential building","Base 2015=100","115.36824813"
"BEA04C01","Value of Production Index in Building and Construction","2004","2004","12","Civil engineering","Base 2015=100","107.38455201"
"BEA04C01","Value of Production Index in Building and Construction","2005","2005","-","All building and construction","Base 2015=100","290.94107948"
"BEA04C01","Value of Production Index in Building and Construction","2005","2005","11","Building (excluding civil engineering)","Base 2015=100","366.11714067"
"BEA04C01","Value of Production Index in Building and Construction","2005","2005","111","Residential building","Base 2015=100","698.49702612"
"BEA04C01","Value of Production Index in Building and Construction","2005","2005","112","Non-residential building","Base 2015=100","129.44689757"
"BEA04C01","Value of Production Index in Building and Construction","2005","2005","12","Civil engineering","Base 2015=100","125.9315247"
"BEA04C01","Value of Production Index in Building and Construction","2006","2006","-","All building and construction","Base 2015=100","319.80673773"
"BEA04C01","Value of Production Index in Building and Construction","2006","2006","11","Building (excluding civil engineering)","Base 2015=100","397.28555627"
"BEA04C01","Value of Production Index in Building and Construction","2006","2006","111","Residential building","Base 2015=100","751.67005519"
"BEA04C01","Value of Production Index in Building and Construction","2006","2006","112","Non-residential building","Base 2015=100","144.91810732"
"BEA04C01","Value of Production Index in Building and Construction","2006","2006","12","Civil engineering","Base 2015=100","149.84013612"
"BEA04C01","Value of Production Index in Building and Construction","2007","2007","-","All building and construction","Base 2015=100","290.15357285"
"BEA04C01","Value of Production Index in Building and Construction","2007","2007","11","Building (excluding civil engineering)","Base 2015=100","347.74043093"
"BEA04C01","Value of Production Index in Building and Construction","2007","2007","111","Residential building","Base 2015=100","619.91562902"
"BEA04C01","Value of Production Index in Building and Construction","2007","2007","112","Non-residential building","Base 2015=100","153.73902721"
"BEA04C01","Value of Production Index in Building and Construction","2007","2007","12","Civil engineering","Base 2015=100","164.08047257"
"BEA04C01","Value of Production Index in Building and Construction","2008","2008","-","All building and construction","Base 2015=100","212.38298697"
"BEA04C01","Value of Production Index in Building and Construction","2008","2008","11","Building (excluding civil engineering)","Base 2015=100","236.88030758"
"BEA04C01","Value of Production Index in Building and Construction","2008","2008","111","Residential building","Base 2015=100","351.22134622"
"BEA04C01","Value of Production Index in Building and Construction","2008","2008","112","Non-residential building","Base 2015=100","155.00182344"
"BEA04C01","Value of Production Index in Building and Construction","2008","2008","12","Civil engineering","Base 2015=100","159.18618643"
"BEA04C01","Value of Production Index in Building and Construction","2009","2009","-","All building and construction","Base 2015=100","132.02930569"
"BEA04C01","Value of Production Index in Building and Construction","2009","2009","11","Building (excluding civil engineering)","Base 2015=100","130.21910478"
"BEA04C01","Value of Production Index in Building and Construction","2009","2009","111","Residential building","Base 2015=100","145.10612133"
"BEA04C01","Value of Production Index in Building and Construction","2009","2009","112","Non-residential building","Base 2015=100","119.14456924"
"BEA04C01","Value of Production Index in Building and Construction","2009","2009","12","Civil engineering","Base 2015=100","136.68165303"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","-","All building and construction","Base 2015=100","93.81639392"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","11","Building (excluding civil engineering)","Base 2015=100","88.245861266"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","111","Residential building","Base 2015=100","92.08217799"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","112","Non-residential building","Base 2015=100","85.164123517"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","12","Civil engineering","Base 2015=100","106.60702692"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","-","All building and construction","Base 2015=100","76.231060977"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","11","Building (excluding civil engineering)","Base 2015=100","74.460470777"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","111","Residential building","Base 2015=100","65.564989163"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","112","Non-residential building","Base 2015=100","81.606268023"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","12","Civil engineering","Base 2015=100","80.296555401"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","-","All building and construction","Base 2015=100","74.998646622"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","11","Building (excluding civil engineering)","Base 2015=100","66.604594126"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","111","Residential building","Base 2015=100","57.912893629"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","112","Non-residential building","Base 2015=100","73.586692698"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","12","Civil engineering","Base 2015=100","94.272430936"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","-","All building and construction","Base 2015=100","84.124164198"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","11","Building (excluding civil engineering)","Base 2015=100","77.507151854"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","111","Residential building","Base 2015=100","64.584788454"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","112","Non-residential building","Base 2015=100","87.887768981"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","12","Civil engineering","Base 2015=100","99.317644197"
"BEA04C01","Value of Production Index in Building and Construction","2014","2014","-","All building and construction","Base 2015=100","91.974680263"
